                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.6772,                0.87412,                 1.1723,                0.83514,                 0.6609,                0.76414,                0.41152,                 1.5681,                0.78391,                 1.1278,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.6675,                0.88384,                 1.1722,                0.83252,                0.65404,                0.75865,                 0.4118,                 1.5706,                0.78233,                 1.1255,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.6852,                0.86223,                 1.1658,                0.83926,                0.65755,                0.75923,                0.40912,                  1.582,                0.79184,                 1.1309,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.6565,                0.86932,                 1.1692,                0.83438,                0.65022,                0.75517,                0.40668,                 1.5788,                0.79381,                 1.1314,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.6813,                 0.8659,                 1.1626,                 0.8354,                 0.6528,                0.75761,                0.41467,                 1.5515,                0.77136,                 1.1233,               0.000878,               0.000878,               0.000878
                     88,                 1.6553,                0.85782,                 1.1722,                0.83304,                 0.6581,                 0.7629,                0.41227,                  1.573,                0.78429,                 1.1237,              0.0008648,              0.0008648,              0.0008648
                     89,                  1.678,                0.86472,                 1.1626,                 0.8396,                 0.6528,                0.76011,                0.41489,                  1.561,                0.77993,                 1.1245,              0.0008516,              0.0008516,              0.0008516
                     90,                  1.675,                0.85003,                 1.1591,                0.84064,                0.66866,                0.76928,                0.42104,                 1.5443,                0.77115,                  1.118,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.6674,                0.86654,                  1.176,                0.83969,                0.65264,                0.76393,                0.42472,                 1.5327,                0.76549,                 1.1107,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.6155,                0.83638,                 1.1606,                0.85006,                0.66425,                0.76834,                0.42186,                 1.5282,                0.75742,                 1.1122,               0.000812,               0.000812,               0.000812
                     93,                 1.6562,                0.84931,                 1.1607,                0.83962,                0.66326,                0.76802,                 0.4231,                 1.5286,                0.76272,                 1.1112,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.6308,                0.84124,                 1.1512,                0.83964,                0.66425,                0.76688,                 0.4225,                 1.5293,                0.77239,                  1.113,              0.0007856,              0.0007856,              0.0007856
                     95,                  1.635,                0.83797,                 1.1573,                0.84704,                0.66874,                0.76891,                0.42837,                 1.5184,                0.75691,                 1.1065,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.6446,                0.84372,                 1.1598,                0.84375,                0.66418,                0.76682,                0.42624,                 1.5031,                0.77207,                  1.107,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.6312,                0.84741,                 1.1452,                0.84854,                0.66467,                0.76814,                 0.4267,                 1.5307,                0.76647,                 1.1124,               0.000746,               0.000746,               0.000746
                     98,                 1.6216,                 0.8398,                 1.1383,                0.84708,                0.67262,                0.77359,                0.43587,                 1.4968,                0.75053,                 1.0963,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.6156,                 0.8371,                 1.1479,                0.84442,                0.65241,                0.76498,                0.42539,                 1.5156,                0.75816,                  1.101,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.6343,                0.84225,                  1.154,                0.83875,                0.65636,                0.75949,                 0.4182,                 1.5364,                0.76538,                 1.1149,              0.0007064,              0.0007064,              0.0007064
                    101,                  1.648,                0.85249,                 1.1527,                0.84139,                0.67402,                0.76829,                 0.4282,                 1.5171,                0.76095,                 1.1068,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.6201,                0.83495,                 1.1446,                0.84884,                0.65706,                0.76516,                0.42629,                 1.5116,                0.74675,                 1.1027,                0.00068,                0.00068,                0.00068
                    103,                 1.5881,                0.81229,                 1.1434,                0.85122,                0.66194,                0.77146,                0.43866,                 1.4799,                0.73627,                  1.092,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.5827,                0.81017,                 1.1313,                0.85412,                0.66767,                0.77607,                0.44068,                  1.469,                0.74083,                 1.0897,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.6071,                0.82529,                 1.1432,                0.84768,                0.67047,                0.77503,                0.43878,                 1.4757,                0.74425,                 1.0929,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.5615,                0.80446,                 1.1408,                0.85105,                0.67409,                0.77783,                0.44115,                 1.4819,                0.73516,                 1.0897,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.6163,                0.82713,                 1.1393,                0.84618,                0.67744,                0.77822,                 0.4417,                 1.4724,                 0.7389,                 1.0892,               0.000614,               0.000614,               0.000614
                    108,                 1.6177,                0.82323,                 1.1333,                0.86065,                0.67828,                0.78262,                0.44938,                 1.4606,                0.72352,                 1.0858,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.5843,                0.81118,                 1.1284,                0.85711,                0.67653,                0.78194,                0.44886,                 1.4558,                0.72945,                 1.0804,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.5691,                0.80579,                 1.1232,                0.84736,                0.67632,                0.77753,                0.43665,                  1.482,                 0.7487,                 1.0898,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.5818,                0.81015,                 1.1339,                 0.8479,                0.66888,                0.77112,                0.43797,                 1.4792,                0.73678,                 1.0883,              0.0005612,              0.0005612,              0.0005612
