                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  1.448,                  0.732,                 1.0688,                0.86607,                0.68266,                0.78476,                0.48027,                 1.3169,                0.64483,                  1.021,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.4451,                0.72537,                 1.0656,                0.86645,                0.68268,                0.78318,                0.47403,                 1.3193,                0.64714,                  1.022,              0.0016172,              0.0016172,              0.0016172
                     61,                  1.444,                0.72603,                 1.0848,                0.86451,                 0.6798,                0.78309,                 0.4766,                 1.3281,                0.64225,                 1.0257,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.4317,                 0.7162,                  1.059,                 0.8633,                0.68797,                0.78749,                0.48047,                 1.3191,                0.64363,                 1.0202,               0.001604,               0.001604,               0.001604
                     63,                 1.4606,                0.72715,                 1.0703,                0.86427,                0.68263,                 0.7827,                0.47044,                 1.3505,                0.65966,                 1.0298,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.4581,                0.71681,                 1.0701,                0.85359,                 0.6874,                0.78347,                0.47262,                 1.3455,                0.66308,                 1.0337,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.4599,                0.73015,                 1.0725,                0.85945,                 0.6814,                 0.7843,                0.47254,                 1.3423,                0.65135,                 1.0238,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.4524,                 0.7219,                 1.0594,                0.86592,                0.69104,                0.78906,                0.48286,                 1.3104,                0.63686,                 1.0193,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.4016,                0.70971,                 1.0619,                0.86133,                0.69228,                0.79046,                 0.4857,                 1.3032,                 0.6394,                 1.0174,               0.001571,               0.001571,               0.001571
                     68,                  1.402,                0.71649,                 1.0699,                0.85047,                0.68832,                0.78444,                0.47426,                 1.3465,                0.65916,                 1.0345,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.4069,                0.71402,                 1.0675,                0.85712,                0.67827,                0.78238,                 0.4718,                 1.3393,                0.65349,                 1.0277,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.4032,                0.71086,                 1.0664,                0.86602,                0.66467,                0.77756,                0.46404,                 1.3569,                 0.6511,                  1.033,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.3812,                 0.7024,                 1.0608,                0.87434,                0.69228,                0.79472,                0.49124,                 1.2869,                0.63279,                   1.01,              0.0015446,              0.0015446,              0.0015446
