                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.5959,                0.81585,                 1.1399,                0.86189,                 0.6761,                0.77825,                0.43841,                 1.4776,                0.74286,                  1.092,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.5797,                0.81781,                 1.1312,                0.84987,                0.67609,                0.77816,                0.44692,                 1.4547,                0.72569,                 1.0835,               0.000614,               0.000614,               0.000614
                    108,                 1.6011,                0.81942,                 1.1323,                0.84288,                0.67927,                 0.7782,                0.44717,                 1.4578,                0.72126,                 1.0832,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.5962,                0.81212,                 1.1421,                0.85097,                0.67402,                0.78178,                0.44959,                 1.4465,                0.71851,                  1.076,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.5635,                0.80257,                 1.1263,                0.85311,                0.67486,                0.77988,                0.44918,                 1.4355,                0.72928,                 1.0756,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.5916,                 0.8167,                 1.1355,                0.84863,                0.67828,                0.78215,                 0.4536,                 1.4274,                0.71874,                 1.0746,              0.0005612,              0.0005612,              0.0005612
                    112,                 1.5694,                0.80068,                 1.1304,                0.85189,                0.67453,                0.78106,                0.45538,                 1.4256,                0.70836,                 1.0715,               0.000548,               0.000548,               0.000548
                    113,                 1.5512,                0.80059,                 1.1273,                0.85057,                0.68051,                0.78432,                0.45615,                 1.4218,                0.70968,                 1.0708,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.5418,                 0.7995,                   1.13,                 0.8486,                 0.6729,                0.78043,                0.45079,                 1.4431,                0.71868,                 1.0774,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.5343,                0.78625,                 1.1225,                0.85907,                0.67441,                0.78292,                  0.457,                 1.4191,                 0.7048,                 1.0707,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.5758,                0.79445,                 1.1221,                 0.8529,                0.68156,                 0.7849,                0.45658,                 1.4169,                0.71362,                 1.0701,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.5265,                 0.7858,                 1.1187,                0.85771,                0.67891,                0.78494,                0.45761,                 1.4155,                0.70687,                 1.0704,               0.000482,               0.000482,               0.000482
                    118,                  1.566,                0.79954,                 1.1259,                0.86237,                0.68121,                0.78848,                0.45968,                  1.408,                0.71008,                 1.0674,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.5446,                0.80134,                 1.1103,                0.86042,                0.68203,                0.78966,                0.46255,                 1.3958,                0.70326,                 1.0617,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.5532,                0.79209,                 1.1234,                0.85172,                0.68351,                0.78729,                 0.4596,                  1.412,                0.69934,                  1.065,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.5553,                0.79784,                 1.1242,                0.84981,                0.68131,                0.78511,                0.45987,                 1.4061,                0.71262,                 1.0639,              0.0004292,              0.0004292,              0.0004292
                    122,                  1.536,                0.78701,                 1.1099,                0.85757,                0.67472,                0.78784,                0.46156,                 1.4063,                0.69705,                 1.0635,               0.000416,               0.000416,               0.000416
                    123,                 1.5427,                0.78246,                 1.1165,                0.85971,                0.67972,                 0.7874,                0.46287,                 1.4004,                0.69921,                 1.0629,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.5196,                0.77097,                  1.106,                0.85824,                0.67826,                 0.7851,                0.45832,                 1.4152,                 0.7032,                 1.0672,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.5062,                0.77571,                 1.1114,                0.85259,                  0.681,                0.78684,                 0.4629,                 1.3939,                 0.6981,                 1.0619,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.5164,                0.78402,                 1.1163,                0.85387,                0.67669,                0.78242,                 0.4594,                 1.4046,                0.69597,                 1.0618,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.5222,                0.76995,                 1.1061,                0.86463,                0.68435,                0.79175,                0.47062,                 1.3754,                0.69187,                 1.0539,                0.00035,                0.00035,                0.00035
                    128,                 1.5318,                0.78675,                 1.1129,                0.86275,                0.68579,                0.79366,                0.47398,                 1.3701,                0.68256,                  1.052,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.5191,                0.77828,                 1.1142,                0.86114,                0.67925,                0.79201,                0.46983,                 1.3731,                0.68767,                 1.0531,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.4887,                0.76686,                  1.106,                0.85861,                0.68386,                0.79198,                0.47263,                 1.3648,                0.68874,                 1.0505,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.4854,                0.77093,                 1.0963,                0.86366,                0.68728,                0.79484,                0.47082,                 1.3788,                0.69139,                 1.0542,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.5074,                0.76718,                 1.1097,                0.86638,                0.68589,                0.79462,                  0.475,                 1.3575,                0.68277,                 1.0481,               0.000284,               0.000284,               0.000284
                    133,                 1.5121,                0.77568,                 1.1046,                0.86115,                0.69221,                0.79634,                0.47533,                 1.3598,                0.68455,                 1.0486,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.5033,                0.77639,                 1.1079,                0.86127,                 0.6863,                0.79428,                0.47547,                 1.3589,                0.68171,                 1.0464,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.5019,                0.78074,                 1.1167,                0.86488,                0.68784,                0.79429,                0.47646,                 1.3527,                0.67496,                 1.0474,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.5139,                0.77126,                 1.0992,                 0.8613,                0.68568,                0.79436,                0.47913,                 1.3494,                0.67551,                 1.0438,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.4959,                0.77191,                 1.1035,                0.86492,                0.68135,                0.79442,                0.47811,                 1.3506,                0.67539,                 1.0456,               0.000218,               0.000218,               0.000218
                    138,                 1.5138,                0.77322,                  1.103,                0.86566,                0.68594,                0.79753,                0.48241,                  1.335,                0.67244,                 1.0402,              0.0002048,              0.0002048,              0.0002048
                    139,                 1.4927,                0.75149,                 1.0896,                0.86496,                0.68735,                0.79583,                0.47879,                  1.349,                0.68306,                  1.044,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.5014,                 0.7602,                  1.086,                 0.8718,                0.68484,                  0.797,                0.48296,                 1.3331,                0.67439,                 1.0402,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.5379,                0.79016,                 1.1253,                0.86634,                0.67823,                0.78926,                0.47288,                 1.3564,                0.68374,                 1.0466,              0.0001652,              0.0001652,              0.0001652
                    142,                 1.4811,                0.75869,                 1.1135,                0.86357,                0.67367,                 0.7858,                0.46688,                 1.3722,                0.69234,                 1.0534,               0.000152,               0.000152,               0.000152
                    143,                 1.4772,                0.75258,                 1.1023,                 0.8594,                0.67667,                0.78625,                0.46395,                 1.3771,                0.69623,                  1.055,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.4653,                0.74416,                 1.0915,                0.86316,                0.67853,                0.78766,                0.46257,                 1.3797,                0.69699,                 1.0554,              0.0001256,              0.0001256,              0.0001256
                    145,                  1.468,                0.74568,                 1.0937,                 0.8629,                 0.6833,                0.78988,                0.46738,                 1.3719,                0.68884,                 1.0526,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.4479,                 0.7312,                 1.0867,                0.86466,                  0.678,                0.78797,                0.46625,                 1.3718,                0.68905,                 1.0517,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                 1.4414,                0.73508,                 1.0862,                0.86956,                0.68142,                 0.7924,                0.47337,                 1.3528,                  0.684,                 1.0454,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                 1.4649,                0.74744,                 1.0969,                0.86612,                0.68128,                0.79151,                0.47057,                 1.3634,                0.68858,                  1.048,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                 1.4292,                0.73327,                 1.0826,                0.86694,                0.68312,                0.79308,                0.47499,                 1.3525,                0.68085,                 1.0443,               5.96e-05,               5.96e-05,               5.96e-05
                    150,                 1.4302,                0.73131,                 1.0781,                0.86919,                0.68505,                0.79528,                0.47804,                 1.3447,                0.67832,                 1.0423,               4.64e-05,               4.64e-05,               4.64e-05
